County,Year,No of NJCEP Programs,Annual Electric Savings (kWh),Annual Gas Savings (Therms)
Atlantic,2008,0,0,0
Atlantic,2009,41,0,0
Atlantic,2010,19,117664.72,2970.67
Atlantic,2011,79,1378585.32,-15608.97
Atlantic,2012,61,1454832.19,23410.51
Atlantic,2013,25,864807.89,15933.52
Atlantic,2014,9,270770.46,3507.15
Atlantic,2015,7,362251.08,3796.87
Atlantic,2016,11,642832.86,2389.27
Atlantic,2017,6,0,1212.81
Atlantic,2018,20,902118,29883.33
Atlantic,2019,16,415017,-15.68
Atlantic,2020,25,441405,6675.92
Atlantic,2021,2,3273,196.11
Bergen,2008,0,0,0
Bergen,2009,30,0,0
Bergen,2010,65,127919.18,2322.15
Bergen,2011,203,5216691.06,104632.03
Bergen,2012,143,3048342.36,103825.75
Bergen,2013,44,564634.96,30330.58
Bergen,2014,36,423753.96,18393.28
Bergen,2015,64,2123887.76,128780.71
Bergen,2016,37,680386.32,14292.32
Bergen,2017,46,1154312,75451.44
Bergen,2018,96,2496799,179341.62
Bergen,2019,54,1605266,29824.49
Bergen,2020,100,4389671,75234.13
Bergen,2021,22,1321593,19516.65
Burlington,2008,0,0,0
Burlington,2009,13,22627.08,0
Burlington,2010,27,90679.3,1157.51
Burlington,2011,68,2566329.1,29255.6
Burlington,2012,55,866669.42,6336.72
Burlington,2013,43,614023.72,33013.23
Burlington,2014,23,187475.43,2153.94
Burlington,2015,16,246879.39,2058.81
Burlington,2016,14,190105.83,867.09
Burlington,2017,39,1739739,4300.05
Burlington,2018,28,989014,-6169.16
Burlington,2019,22,2049072,-3813.17
Burlington,2020,76,2910423,49516.05
Burlington,2021,26,935874,27304.35
Camden,2008,0,0,0
Camden,2009,2,0,0
Camden,2010,43,159346.45,563.33
Camden,2011,53,832109.34,17480.51
Camden,2012,38,689920.14,5667.36
Camden,2013,50,391718.61,30464.42
Camden,2014,66,893454.39,66070.12
Camden,2015,45,615414.35,55160.44
Camden,2016,25,408207.2,45164.13
Camden,2017,16,1842511,124727.49
Camden,2018,34,1347268,56363.14
Camden,2019,65,1379224,74309.31
Camden,2020,121,2758164,48396.81
Camden,2021,10,393982,2373.96
Cape May,2008,1,0,1258.06
Cape May,2009,3,44019.05,0
Cape May,2010,66,28011.92,0
Cape May,2011,39,833651.93,-3357.9
Cape May,2012,31,561231.69,-18504.85
Cape May,2013,13,360035.71,7149.03
Cape May,2014,10,249737.62,9631.98
Cape May,2015,1,14322.85,0
Cape May,2016,3,10065,0
Cape May,2017,3,62843,2614.13
Cape May,2018,27,1609423,61244.92
Cape May,2019,25,628107,6276.65
Cape May,2020,51,622384,1464.02
Cape May,2021,19,45919,-262.92
Cumberland,2008,5,100830.68,0
Cumberland,2009,1,0,0
Cumberland,2010,2,7714.34,0
Cumberland,2011,23,406179.94,10575.01
Cumberland,2012,15,299629.34,2974.48
Cumberland,2013,13,167871.12,2663.07
Cumberland,2014,6,105501.25,0
Cumberland,2015,6,74584.74,0
Cumberland,2016,0,0,0
Cumberland,2017,5,165288,12574.04
Cumberland,2018,1,23116,0
Cumberland,2019,8,161454,6548.12
Cumberland,2020,34,294687,1890.98
Cumberland,2021,11,181127,2974.59
Essex,2008,4,22994.85,1588.24
Essex,2009,9,0,0
Essex,2010,23,0,18103.43
Essex,2011,93,2223179.98,27508.6
Essex,2012,50,1100241.75,28231.77
Essex,2013,86,459815.6,29138.39
Essex,2014,40,10587.33,10799.61
Essex,2015,42,1160818.52,61152.13
Essex,2016,35,972971.57,36026.75
Essex,2017,22,2564421,160637.83
Essex,2018,45,1904572,79272.99
Essex,2019,39,454042,10638.97
Essex,2020,56,2688160,-4106.99
Essex,2021,5,167192,1198.98
Gloucester,2008,3,13299.02,0
Gloucester,2009,6,51125.49,0
Gloucester,2010,6,0,653.61
Gloucester,2011,37,511662.7,2714.69
Gloucester,2012,52,902948.51,1467.11
Gloucester,2013,14,792412.23,15588.02
Gloucester,2014,14,14692.02,0
Gloucester,2015,10,169283.4,2669.92
Gloucester,2016,10,481096,11657.94
Gloucester,2017,23,625137,0
Gloucester,2018,44,737597,10749.81
Gloucester,2019,42,1029538,6793.61
Gloucester,2020,48,1625513,16886.65
Gloucester,2021,10,386653,-625.26
Hudson,2008,0,0,0
Hudson,2009,0,0,0
Hudson,2010,12,20914.69,0
Hudson,2011,55,3846355.48,7176.96
Hudson,2012,5,191787.52,3989.12
Hudson,2013,0,0,0
Hudson,2014,5,1384888.56,143312
Hudson,2015,11,692909.71,3822.95
Hudson,2016,9,276302.97,0
Hudson,2017,3,25416,11880
Hudson,2018,26,33006,0
Hudson,2019,16,600073,4145.55
Hudson,2020,8,69853,57.13
Hudson,2021,8,0,0
Hunterdon,2008,0,0,0
Hunterdon,2009,7,7243.69,0
Hunterdon,2010,13,6850.53,0
Hunterdon,2011,45,627617.12,52477.3
Hunterdon,2012,21,174847.19,-4761.35
Hunterdon,2013,9,112070.46,2600
Hunterdon,2014,11,113099.66,0
Hunterdon,2015,12,1232529.99,910
Hunterdon,2016,3,30023,0
Hunterdon,2017,10,1624115,-31933.58
Hunterdon,2018,11,1314275,45589.52
Hunterdon,2019,18,1049006,9111.03
Hunterdon,2020,19,1447827,25232.15
Hunterdon,2021,2,26144,164.74
Mercer,2008,0,0,0
Mercer,2009,3,0,0
Mercer,2010,34,109361.31,3000
Mercer,2011,37,290444.6,9374.97
Mercer,2012,24,507595.31,6124.69
Mercer,2013,15,58001.6,4544.99
Mercer,2014,6,0,0
Mercer,2015,22,934229.16,64405.62
Mercer,2016,10,707755.96,19870.03
Mercer,2017,1,106207,1499.03
Mercer,2018,14,851706,23752.24
Mercer,2019,47,1013599,51689.96
Mercer,2020,43,1778981,185114.04
Mercer,2021,19,0,0
Middlesex,2008,3,650.52,7509.03
Middlesex,2009,69,0,193954.2
Middlesex,2010,50,987351.41,16265.43
