Year,County,Total:_x,    American Indian and Alaska Native alone,    Asian alone,    Black or African American alone,    Native Hawaiian and Other Pacific Islander alone,    Some Other Race alone,    Some other race alone,    Two or More Races:,    Two or more races:,    White alone,"        Two races excluding Some Other Race, and three or more races","        Two races excluding Some other race, and three or more races",        Two races including Some Other Race,        Two races including Some other race,Total:_y,    Hispanic or Latino,    Not Hispanic or Latino
2010,Atlantic County,"274,685",554,"21,383","44,005",716,,"15,618",,"7,673","184,736",,"3,430",,"4,243","274,685","46,519","228,166"
2010,Bergen County,"906,541","2,061","131,089","49,811",0,,"39,831",,"17,203","666,546",,"12,759",,"4,444","906,541","146,210","760,331"
2010,Burlington County,"449,149",536,"19,499","74,845",141,,"6,420",,"13,014","334,694",,"10,538",,"2,476","449,149","29,021","420,128"
2010,Camden County,"513,607","2,228","25,859","97,319",34,,"46,298",,"16,370","325,499",,"10,200",,"6,170","513,607","73,530","440,077"
2010,Cape May County,"97,253","1,618",969,"4,034",0,,272,,"1,491","88,869",,"1,325",,166,"97,253","6,138","91,115"
2010,Cumberland County,"157,149","1,031","2,062","32,075",0,,"18,236",,"6,639","97,106",,"4,590",,"2,049","157,149","42,701","114,448"
2010,Essex County,"784,228","2,659","36,329","319,381",40,,"44,786",,"39,310","341,723",,"32,383",,"6,927","784,228","159,921","624,307"
2010,Gloucester County,"288,581",412,"7,611","28,775",113,,"5,424",,"6,793","239,453",,"5,153",,"1,640","288,581","13,844","274,737"
2010,Hudson County,"635,294","1,336","84,760","82,880",0,,"118,741",,"21,017","326,560",,"12,573",,"8,444","635,294","269,036","366,258"
2010,Hunterdon County,"128,373",208,"3,973","3,161",102,,"1,529",,"1,845","117,555",,"1,739",,106,"128,373","6,781","121,592"
2010,Mercer County,"366,789",786,"32,365","75,871",0,,"20,930",,"7,695","229,142",,"5,366",,"2,329","366,789","55,733","311,056"
2010,Middlesex County,"810,986","1,478","175,464","74,513",228,,"22,356",,"21,313","515,634",,"14,807",,"6,506","810,986","149,935","661,051"
2010,Monmouth County,"630,966",276,"31,260","46,068",0,,"10,244",,"17,738","525,380",,"14,846",,"2,892","630,966","61,342","569,624"
2010,Morris County,"492,694",736,"43,945","15,971",0,,"17,888",,"7,964","406,190",,"4,793",,"3,171","492,694","56,836","435,858"
2010,New Jersey!!Estimate,"8,801,624","18,956","725,077","1,186,144","2,500",,"536,350",,"229,312","6,103,285",,"166,584",,"62,728","8,801,624","1,564,037","7,237,587"
2010,Ocean County,"577,603",106,"8,863","16,710",321,,"15,124",,"11,272","525,207",,"8,389",,"2,883","577,603","48,127","529,476"
2010,Passaic County,"501,860","1,385","26,289","60,731",0,,"63,506",,"9,693","340,256",,"6,201",,"3,492","501,860","186,376","315,484"
2010,Salem County,"66,058",41,347,"10,046",0,,893,,898,"53,833",,757,,141,"66,058","4,568","61,490"
2010,Somerset County,"324,194",541,"44,609","27,511",206,,"17,320",,"7,853","226,154",,"6,627",,"1,226","324,194","42,374","281,820"
2010,Sussex County,"149,239",297,"2,507","2,844",0,,"1,179",,"2,344","140,068",,"1,887",,457,"149,239","9,704","139,535"
2010,Union County,"537,661",549,"23,293","115,299",599,,"68,994",,"9,724","319,203",,"7,226",,"2,498","537,661","147,611","390,050"
2010,Warren County,"108,714",118,"2,601","4,294",0,,761,,"1,463","99,477",,995,,468,"108,714","7,730","100,984"
2011,Atlantic County,"274,338","1,822","21,428","44,368",59,,"18,490",,"8,901","179,270",,"4,493",,"4,408","274,338","47,412","226,926"
2011,Bergen County,"911,004","1,022","134,508","53,277",232,,"51,470",,"15,932","654,563",,"12,343",,"3,589","911,004","152,676","758,328"
2011,Burlington County,"449,576",374,"20,437","73,921",206,,"9,985",,"13,736","330,917",,"11,234",,"2,502","449,576","30,253","419,323"
2011,Camden County,"513,241","1,111","27,084","94,751",293,,"40,039",,"16,791","333,172",,"12,057",,"4,734","513,241","75,503","437,738"
2011,Cumberland County,"157,095","2,543","2,347","33,423",0,,"14,758",,"4,817","99,207",,"2,276",,"2,541","157,095","43,334","113,761"
2011,Essex County,"785,137","1,569","36,482","311,382",108,,"64,491",,"23,953","347,152",,"18,409",,"5,544","785,137","163,679","621,458"
2011,Gloucester County,"289,104",986,"8,643","28,684",93,,"5,146",,"6,527","239,025",,"6,180",,347,"289,104","14,354","274,750"
2011,Hudson County,"641,224","2,366","87,569","80,169",552,,"99,555",,"19,026","351,987",,"11,797",,"7,229","641,224","271,759","369,465"
2011,Hunterdon County,"128,038",53,"4,202","3,541",0,,"2,925",,"1,814","115,503",,"1,011",,803,"128,038","7,103","120,935"
2011,Mercer County,"367,063",634,"33,077","74,193",0,,"26,500",,"7,212","225,447",,"5,362",,"1,850","367,063","57,061","310,002"
2011,Middlesex County,"814,217","1,481","178,840","77,386",674,,"25,142",,"18,984","511,710",,"13,874",,"5,110","814,217","153,937","660,280"
2011,Monmouth County,"631,020","2,112","31,963","45,202",3,,"8,095",,"13,598","530,047",,"11,360",,"2,238","631,020","62,769","568,251"
2011,Morris County,"494,976",335,"45,118","16,213",119,,"19,741",,"9,596","403,854",,"6,930",,"2,666","494,976","58,522","436,454"
2011,New Jersey!!Estimate,"8,821,155","21,103","747,620","1,182,905","3,365",,"544,803",,"216,816","6,104,543",,"160,541",,"56,275","8,821,155","1,600,690","7,220,465"
2011,Ocean County,"579,369",858,"9,812","17,523",48,,"8,762",,"11,411","530,955",,"9,621",,"1,790","579,369","49,611","529,758"
2011,Passaic County,"502,007","1,787","26,556","61,398",325,,"46,879",,"22,548","342,514",,"17,681",,"4,867","502,007","189,211","312,796"
2011,Salem County,"65,902",242,763,"10,067",17,,"1,242",,"1,288","52,283",,875,,413,"65,902","4,661","61,241"
2011,Somerset County,"324,893",446,"47,599","29,218",0,,"13,593",,"7,329","226,708",,"5,629",,"1,700","324,893","43,356","281,537"
2011,Sussex County,"148,517",12,"3,018","3,158",0,,899,,"1,885","139,545",,"1,360",,525,"148,517","9,924","138,593"
2011,Union County,"539,494",835,"24,780","115,463",610,,"82,985",,"9,118","305,703",,"6,486",,"2,632","539,494","151,332","388,162"
2011,Warren County,"108,339",133,"2,738","4,313",0,,"2,952",,"1,649","96,554",,"1,017",,632,"108,339","8,024","100,315"
2012,Atlantic County,"275,422",496,"22,059","44,567",62,,"16,439",,"8,677","183,122",,"5,172",,"3,505","275,422","48,830","226,592"
2012,Bergen County,"918,888","2,101","137,980","50,478",132,,"44,996",,"27,732","655,469",,"20,670",,"7,062","918,888","158,724","760,164"
2012,Burlington County,"451,336","1,260","21,192","70,525",153,,"12,731",,"16,281","329,194",,"13,800",,"2,481","451,336","31,889","419,447"
2012,Camden County,"513,539","1,269","27,563","102,432",0,,"40,531",,"15,248","326,496",,"10,118",,"5,130","513,539","77,346","436,193"
2012,Cape May County,"96,304",611,"1,008","3,259",0,,"1,518",,"2,493","87,415",,"2,239",,254,"96,304","6,375","89,929"
2012,Cumberland County,"157,785",925,"2,133","32,005",0,,"20,860",,"6,623","95,239",,"4,527",,"2,096","157,785","44,305","113,480"
2012,Essex County,"787,744","2,536","38,415","313,745",432,,"83,616",,"23,375","325,625",,"17,334",,"6,041","787,744","167,733","620,011"
2012,Gloucester County,"289,586",482,"8,226","29,717",130,,"6,410",,"6,451","238,170",,"4,499",,"1,952","289,586","14,990","274,596"
2012,Hudson County,"652,302","3,161","93,136","86,669",193,,"87,801",,"17,865","363,477",,"9,290",,"8,575","652,302","278,120","374,182"
2012,Hunterdon County,"127,050",102,"3,356","3,174","1,293",,695,,"2,183","116,247",,"1,796",,387,"127,050","7,247","119,803"
2012,Mercer County,"368,303",682,"35,129","73,229",0,,"17,253",,"7,356","234,654",,"6,059",,"1,297","368,303","58,567","309,736"
