Label,Year,County,Average Household Size
Total,2010,Atlantic County,2.65
owner,2010,Atlantic County,2.73
renter,2010,Atlantic County,2.44
Total,2010,Bergen County,2.69
owner,2010,Bergen County,2.86
renter,2010,Bergen County,2.37
Total,2010,Burlington County,2.66
owner,2010,Burlington County,2.8
renter,2010,Burlington County,2.16
Total,2010,Camden County,2.66
owner,2010,Camden County,2.85
renter,2010,Camden County,2.28
Total,2010,Cape May County,2.24
owner,2010,Cape May County,2.29
renter,2010,Cape May County,2.1
Total,2010,Cumberland County,2.84
owner,2010,Cumberland County,2.76
renter,2010,Cumberland County,2.98
Total,2010,Essex County,2.76
owner,2010,Essex County,3.05
renter,2010,Essex County,2.52
Total,2010,Gloucester County,2.72
owner,2010,Gloucester County,2.87
renter,2010,Gloucester County,2.13
Total,2010,Hudson County,2.64
owner,2010,Hudson County,2.77
renter,2010,Hudson County,2.57
Total,2010,Hunterdon County,2.59
owner,2010,Hunterdon County,2.66
renter,2010,Hunterdon County,2.18
Total,2010,Mercer County,2.65
owner,2010,Mercer County,2.75
renter,2010,Mercer County,2.45
Total,2010,Middlesex County,2.82
owner,2010,Middlesex County,2.93
renter,2010,Middlesex County,2.6
Total,2010,Monmouth County,2.66
owner,2010,Monmouth County,2.82
renter,2010,Monmouth County,2.18
Total,2010,Morris County,2.71
owner,2010,Morris County,2.82
renter,2010,Morris County,2.31
Total,2010,New Jersey!!Estimate,2.72
owner,2010,New Jersey!!Estimate,2.83
renter,2010,New Jersey!!Estimate,2.49
Total,2010,Ocean County,2.58
owner,2010,Ocean County,2.52
renter,2010,Ocean County,2.86
Total,2010,Passaic County,3.04
owner,2010,Passaic County,3.23
renter,2010,Passaic County,2.81
Total,2010,Salem County,2.63
owner,2010,Salem County,2.73
renter,2010,Salem County,2.4
Total,2010,Somerset County,2.76
owner,2010,Somerset County,2.85
renter,2010,Somerset County,2.39
Total,2010,Sussex County,2.69
owner,2010,Sussex County,2.73
renter,2010,Sussex County,2.47
Total,2010,Union County,2.89
owner,2010,Union County,3.02
renter,2010,Union County,2.68
Total,2010,Warren County,2.61
owner,2010,Warren County,2.72
renter,2010,Warren County,2.21
Total,2011,Atlantic County,2.67
owner,2011,Atlantic County,2.75
renter,2011,Atlantic County,2.5
Total,2011,Bergen County,2.73
owner,2011,Bergen County,2.92
renter,2011,Bergen County,2.39
Total,2011,Burlington County,2.65
owner,2011,Burlington County,2.73
renter,2011,Burlington County,2.4
Total,2011,Camden County,2.73
owner,2011,Camden County,2.92
renter,2011,Camden County,2.33
Total,2011,Cape May County,2.29
owner,2011,Cape May County,2.39
renter,2011,Cape May County,1.98
Total,2011,Cumberland County,2.9
