Label (Grouping),New Jersey,Atlantic County,Bergen County,Burlington County,Camden County,Cape May County,Cumberland County,Essex County,Gloucester County,Hudson County,Hunterdon County,Mercer County,Middlesex County,Monmouth County,Morris County,Ocean County,Passaic County,Salem County,Somerset County,Sussex County,Union County,Warren County,Year,New Jersey,Atlantic County,Bergen County,Burlington County,Camden County,Cape May County,Cumberland County,Essex County,Gloucester County,Hudson County,Hunterdon County,Mercer County,Middlesex County,Monmouth County,Morris County,Ocean County,Passaic County,Salem County,Somerset County,Sussex County,Union County,Warren County
Total:,"3,497,945","112,299","352,030","175,859","201,158","48,860","53,883","322,453","112,502","292,000","51,292","143,970","307,831","250,738","192,847","240,736","177,063","24,973","130,939","58,767","201,392","46,353",2021,"3,497,945","112,299","352,030","175,859","201,158","48,860","53,883","322,453","112,502","292,000","51,292","143,970","307,831","250,738","192,847","240,736","177,063","24,973","130,939","58,767","201,392","46,353"
    Utility gas,"2,545,038","79,294","268,191","120,266","150,913","32,963","35,249","235,497","85,188","188,934","24,015","103,454","240,266","202,232","132,915","186,997","144,405","11,877","103,938","11,030","164,646","22,768",2021,"2,545,038","79,294","268,191","120,266","150,913","32,963","35,249","235,497","85,188","188,934","24,015","103,454","240,266","202,232","132,915","186,997","144,405","11,877","103,938","11,030","164,646","22,768"
"    Bottled, tank, or LP gas","87,258","3,276","8,966","3,084","3,109","2,148","2,701","7,947","2,453","8,164","4,800","1,834","6,433","3,887","5,696","3,963","4,179","1,546","1,430","6,029","3,211","2,402",2021,"87,258","3,276","8,966","3,084","3,109","2,148","2,701","7,947","2,453","8,164","4,800","1,834","6,433","3,887","5,696","3,963","4,179","1,546","1,430","6,029","3,211","2,402"
    Electricity,"555,363","18,692","54,987","35,919","35,846","10,324","5,452","54,112","13,347","74,890","5,329","29,149","48,066","31,517","23,257","36,955","18,803","3,956","16,624","10,574","22,660","4,904",2021,"555,363","18,692","54,987","35,919","35,846","10,324","5,452","54,112","13,347","74,890","5,329","29,149","48,066","31,517","23,257","36,955","18,803","3,956","16,624","10,574","22,660","4,904"
"    Fuel oil, kerosene, etc.","240,765","7,407","14,681","13,076","8,305","1,421","9,309","14,757","10,517","10,689","15,136","7,342","9,810","8,242","28,828","10,673","7,833","6,646","6,426","27,713","7,650","14,304",2021,"240,765","7,407","14,681","13,076","8,305","1,421","9,309","14,757","10,517","10,689","15,136","7,342","9,810","8,242","28,828","10,673","7,833","6,646","6,426","27,713","7,650","14,304"
    Coal or coke,"1,624",0,0,44,383,0,42,114,0,0,61,0,73,83,0,0,545,32,0,134,113,0,2021,"1,624",0,0,44,383,0,42,114,0,0,61,0,73,83,0,0,545,32,0,134,113,0
    Wood,"9,820",825,138,778,151,0,448,0,298,114,"1,313",92,53,240,369,639,64,456,146,"2,185",0,"1,511",2021,"9,820",825,138,778,151,0,448,0,298,114,"1,313",92,53,240,369,639,64,456,146,"2,185",0,"1,511"
    Solar energy,"7,643",947,146,"1,042",410,14,199,309,236,675,29,195,584,694,267,332,127,135,"1,037",92,173,0,2021,"7,643",947,146,"1,042",410,14,199,309,236,675,29,195,584,694,267,332,127,135,"1,037",92,173,0
    Other fuel,"19,506",659,"3,209",355,950,"1,054",416,"2,602",246,"2,338",523,919,946,"1,763",428,245,344,169,396,874,797,273,2021,"19,506",659,"3,209",355,950,"1,054",416,"2,602",246,"2,338",523,919,946,"1,763",428,245,344,169,396,874,797,273
    No fuel used,"30,928","1,199","1,712","1,295","1,091",936,67,"7,115",217,"6,196",86,985,"1,600","2,080","1,087",932,763,156,942,136,"2,142",191,2021,"30,928","1,199","1,712","1,295","1,091",936,67,"7,115",217,"6,196",86,985,"1,600","2,080","1,087",932,763,156,942,136,"2,142",191
