Municipality,County,Muni/County,Year,Electric Utility,Residential Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Total Natural Gas (Therms),Median Houshold Income,Municipality_clean,County_clean,Total Households,Electric Rate,Gas Rate,Electric Cost,Gas Cost,Total Energy Cost,Per Household Energy Cost,Energy Burden (%)
Aberdeen Twp,Monmouth,Aberdeen Twp Monmouth,2022,JCPL,60787253.0,"90,260,236",NJNG,5134256.0,"6,355,934",150040.0,aberdeen twp,monmouth,7956.0,0.149,0.4478,9057300.696999999,2299119.8367999997,11356420.533799998,1427.4032847913522,0.9513484969283873
Absecon City,Atlantic,Absecon City Atlantic,2022,ACE,34457582.0,"64,544,356",SJG,5347248.0,"7,957,856",91891.0,absecon,atlantic,3559.0,0.237,0.55,8166446.933999999,2940986.4000000004,11107433.333999999,3120.942212419219,3.3963524310533337
Alexandria Twp,Hunterdon,Alexandria Twp Hunterdon,2022,JCPL,24376356.0,"29,273,626",NDA,,NDA,161440.0,alexandria twp,hunterdon,1806.0,0.149,0.3675,3632077.0439999998,,,,
Allamuchy Twp,Warren,Allamuchy Twp Warren,2022,JCPL,20330544.0,"27,077,060",ETG,3389099.0,"4,164,990",113083.0,allamuchy twp,warren,2439.0,0.149,0.2692,3029251.056,912345.4508,3941596.5067999996,1616.0707284952848,1.429101393220276
Allendale Boro,Bergen,Allendale Boro Bergen,2022,RECO/PSEG,12492.0,"28,707",PSEG,3479485.0,"4,727,665",144348.0,allendale boro,bergen,2332.0,0.203,0.203,2535.876,706335.4550000001,708871.3310000001,303.975699399657,0.21058532116805012
Allenhurst Boro,Monmouth,Allenhurst Boro Monmouth,2022,JCPL,5449604.0,"7,846,210",NJNG,511654.0,"589,536",150040.0,allenhurst boro,monmouth,168.0,0.149,0.4478,811990.9959999999,229118.66119999997,1041109.6571999999,6197.081292857142,4.130286118939711
Allentown Boro,Monmouth,Allentown Boro Monmouth,2022,PSEG,6685379.0,"12,053,832",PSEG,547904.0,"824,394",150040.0,allentown boro,monmouth,683.0,0.203,0.203,1357131.9370000002,111224.512,1468356.4490000003,2149.8630292825774,1.4328599235421071
Alloway Twp,Salem,Alloway Twp Salem,2022,ACE,11382398.0,"14,271,171",SJG,30429.0,"33,381",92541.0,alloway twp,salem,1262.0,0.237,0.55,2697628.326,16735.95,2714364.276,2150.843324881141,2.3242058383647692
Alpha Boro,Warren,Alpha Boro Warren,2022,JCPL,8642630.0,"29,486,439",ETG,895842.0,"1,584,709",113083.0,alpha boro,warren,983.0,0.149,0.2692,1287751.8699999999,241160.6664,1528912.5363999999,1555.3535466937944,1.3754088118406786
Alpine Boro,Bergen,Alpine Boro Bergen,2022,RECO,,NDA,PSEG,2166979.0,"2,293,759",144348.0,alpine boro,bergen,517.0,0.203,0.203,,439896.737,,,
Andover Boro,Sussex,Andover Boro Sussex,2022,JCPL,3213924.0,"5,890,217",NDA,,NDA,130760.0,andover boro,sussex,274.0,0.149,0.3675,478874.676,,,,
Andover Twp,Sussex,Andover Twp Sussex,2022,JCPL,27730610.0,"40,197,038",ETG,671905.0,"3,150,621",130760.0,andover twp,sussex,2188.0,0.149,0.2692,4131860.8899999997,180876.826,4312737.716,1971.0867074954297,1.507408005120396
Asbury Park City,Monmouth,Asbury Park City Monmouth,2022,JCPL,39277392.0,"99,696,486",NJNG,3040916.0,"7,072,439",150040.0,asbury park,monmouth,7668.0,0.149,0.4478,5852331.408,1361722.1848,7214053.5928,940.7998947313511,0.6270327210952753
Atlantic City,Atlantic,Atlantic City Atlantic,2022,ACE,83415809.0,"918,593,400",SJG,12793448.0,"103,662,008",91891.0,atlantic,atlantic,16527.0,0.237,0.55,19769546.733,7036396.4,26805943.133,1621.948516548678,1.7650787525967482
Atlantic Highlands Boro,Monmouth,Atlantic Highlands Boro Monmouth,2022,JCPL,19182769.0,"29,850,511",NJNG,1649865.0,"2,217,844",150040.0,atlantic highlands boro,monmouth,2023.0,0.149,0.4478,2858232.581,738809.5469999999,3597042.1279999996,1778.0732219476024,1.1850661303303134
Audubon Boro,Camden,Audubon Boro Camden,2022,PSEG,29046965.0,"52,852,283",PSEG,2534992.0,"3,569,875",102893.0,audubon boro,camden,3312.0,0.203,0.203,5896533.8950000005,514603.37600000005,6411137.271000001,1935.7298523550726,1.8813037352930446
Audubon Park Boro,Camden,Audubon Park Boro Camden,2022,PSEG,,"2,502",NDA,,NDA,102893.0,audubon park boro,camden,538.0,0.203,0.3675,,,,,
Avalon Boro,Cape May,Avalon Boro Cape May,2022,ACE,48587363.0,"62,434,117",SJG,6180290.0,"7,841,552",101287.0,avalon boro,cape may,775.0,0.237,0.55,11515205.031,3399159.5000000005,14914364.531,19244.34133032258,18.99981372764775
Avon-by-the-sea Boro,Monmouth,Avon-by-the-sea Boro Monmouth,2022,JCPL,9587172.0,"12,309,268",NJNG,938551.0,"1,120,791",150040.0,avon-by-the-sea boro,monmouth,878.0,0.149,0.4478,1428488.628,420283.13779999997,1848771.7658,2105.662603416856,1.403400828723578
Barnegat Light Boro,Ocean,Barnegat Light Boro Ocean,2022,ACE,9063538.0,"12,909,142",NJNG,554692.0,"656,196",104483.0,barnegat light boro,ocean,205.0,0.237,0.4478,2148058.506,248391.0776,2396449.5836,11689.997968780488,11.188421052975592
Barnegat Twp,Ocean,Barnegat Twp Ocean,2022,JCPL/ACE,96107665.0,"125,360,388",NJNG,8116258.0,"8,907,241",104483.0,barnegat twp,ocean,9987.0,0.193,0.4478,18548779.345,3634460.3323999997,22183239.6774,2221.211542745569,2.1259071262746754
Barrington Boro,Camden,Barrington Boro Camden,2022,PSEG,23029562.0,"43,585,272",PSEG/SJG,1766220.0,"3,486,933",102893.0,barrington boro,camden,3459.0,0.203,0.3765,4675001.086,664981.83,5339982.916,1543.793846776525,1.5003876325663796
Bass River Twp,Burlington,Bass River Twp Burlington,2022,ACE,5998963.0,"15,108,836",NJNG,175863.0,"747,607",122708.0,bass river twp,burlington,342.0,0.237,0.4478,1421754.231,78751.45139999999,1500505.6823999998,4387.443515789473,3.575515464182835
Bay Head Boro,Ocean,Bay Head Boro Ocean,2022,JCPL,10770521.0,"18,465,214",NJNG,950799.0,"1,090,205",104483.0,bay head boro,ocean,538.0,0.149,0.4478,1604807.629,425767.79219999997,2030575.4212,3774.3037568773234,3.6123615869350263
Bayonne City,Hudson,Bayonne City Hudson,2022,PSEG,154579190.0,"364,325,358",PSEG,15942600.0,"25,803,606",96221.0,bayonne,hudson,28325.0,0.203,0.203,31379575.57,3236347.8000000003,34615923.37,1222.0979124448365,1.270094794737985
Beach Haven Boro,Ocean,Beach Haven Boro Ocean,2022,ACE,34678606.0,"49,467,082",NJNG,1014090.0,"1,388,368",104483.0,beach haven boro,ocean,510.0,0.237,0.4478,8218829.6219999995,454109.502,8672939.124,17005.762988235292,16.276105192457425
Beachwood Boro,Ocean,Beachwood Boro Ocean,2022,JCPL,37192457.0,"44,420,492",NJNG,2700424.0,"2,916,730",104483.0,beachwood boro,ocean,3965.0,0.149,0.4478,5541676.092999999,1209249.8672,6750925.9602,1702.62949815889,1.6295756229806668
Bedminster Twp,Somerset,Bedminster Twp Somerset,2022,JCPL,32371453.0,"102,872,192",PSEG,2176451.0,"2,900,481",161223.0,bedminster twp,somerset,4261.0,0.149,0.203,4823346.4969999995,441819.553,5265166.05,1235.6644097629664,0.766431842704184
Belleville Twp,Essex,Belleville Twp Essex,2022,PSEG,87154940.0,"165,469,153",PSEG,9470816.0,"15,374,739",97380.0,belleville twp,essex,14176.0,0.203,0.203,17692452.82,1922575.648,19615028.468000002,1383.6786447516931,1.4209063922280685
Bellmawr Boro,Camden,Bellmawr Boro Camden,2022,PSEG,35322322.0,"98,583,715",PSEG,2856201.0,"7,779,873",102893.0,bellmawr boro,camden,4918.0,0.203,0.203,7170431.366,579808.8030000001,7750240.169000001,1575.8926736478245,1.5315839499750465
Belmar Boro,Monmouth,Belmar Boro Monmouth,2022,JCPL,26478167.0,"43,957,955",NJNG,2094984.0,"3,024,216",150040.0,belmar boro,monmouth,2791.0,0.149,0.4478,3945246.883,938133.8352,4883380.7182,1749.6885410963812,1.166148054583032
Belvidere Town,Warren,Belvidere Town Warren,2022,JCPL,10704291.0,"82,142,784",ETG,671715.0,"25,769,798",113083.0,belvidere town,warren,1200.0,0.149,0.2692,1594939.359,180825.67799999999,1775765.037,1479.8041975,1.30860005261622
